14050201	03,05,07,02,11
14050202	05,01,06,10,04
14050203	01,08,05,06,03
14050204	09,11,03,05,07
14050205	09,04,01,03,07
14050206	07,05,10,11,04
14050207	11,07,04,10,01
14050208	09,02,04,11,10
14050209	03,08,01,10,02
14050210	03,10,02,01,04
14050211	11,06,07,02,03
14050212	11,05,08,07,09
14050213	05,03,06,02,08
14050214	07,02,06,03,11
14050215	02,06,10,09,05
14050216	11,08,07,03,09
14050217	01,05,08,04,11
14050218	11,06,10,02,05
14050219	03,08,02,09,10
14050220	07,11,06,05,10
14050221	08,06,01,02,05
14050222	03,09,02,10,07
14050223	09,02,07,06,11
14050224	05,02,07,10,03
