1    14041853    06,01,07,08,11
2    14041854    09,02,04,11,08
3    14041855    09,01,07,08,10
4    14041856    03,01,10,05,06
5    14041857    08,03,10,07,09
6    14041858    06,02,11,08,05
7    14041859    03,09,05,11,04
8    14041860    01,06,08,09,04
9    14041861    09,08,05,03,07
10    14041862    06,02,04,10,08
11    14041863    03,11,06,05,04
12    14041864    02,07,11,08,09
13    14041865    10,07,05,04,09
14    14041866    03,01,06,05,09
15    14041867    01,04,06,03,11
16    14041868    03,06,08,11,05
17    14041869    06,04,02,11,05
18    14041870    03,05,04,02,07
19    14041871    07,10,11,06,01
20    14041872    11,03,08,09,01
21    14041873    03,07,05,11,08
22    14041874    09,07,03,01,08
23    14041875    03,09,07,08,02
24    14041876    01,04,03,11,07
25    14041877    04,01,06,11,05
26    14041878    08,04,01,06,05
27    14041901    10,02,11,07,06
28    14041902    09,05,11,02,07
29    14041903    05,01,11,09,10
30    14041904    04,05,06,03,10
31    14041905    08,04,01,11,06
32    14041906    03,07,09,08,01
33    14041907    05,01,03,10,02
34    14041908    07,09,05,10,11
35    14041909    10,01,03,09,07
36    14041910    05,02,06,04,07
37    14041911    03,07,05,06,08
38    14041912    03,10,08,02,07
39    14041913    09,03,05,01,10
40    14041914    01,08,04,09,02
41    14041915    10,01,07,08,02
42    14041916    04,05,08,11,10
43    14041917    01,11,02,04,08
44    14041918    03,01,11,07,04
45    14041919    04,05,07,09,01
46    14041920    01,04,09,08,06
47    14041921    02,05,04,08,10
48    14041922    08,06,09,07,03
49    14041923    04,06,07,01,03
50    14041924    09,01,11,03,10
51    14041925    02,05,10,09,03
52    14041926    07,02,05,08,06
53    14041927    04,06,08,11,01
54    14041928    05,06,08,07,11
55    14041929    01,02,05,11,09
56    14041930    04,07,08,09,10
57    14041931    09,07,11,03,01
58    14041932    10,05,04,07,06
59    14041933    01,10,05,02,11
60    14041934    11,03,09,10,06
61    14041935    11,10,08,06,04
62    14041936    01,11,07,05,09
63    14041937    05,08,03,04,09
64    14041938    03,01,09,04,08
65    14041939    08,01,09,03,05
66    14041940    03,10,05,09,08
67    14041941    10,02,08,05,03
68    14041942    03,01,11,09,04
69    14041943    01,11,09,10,02
70    14041944    03,01,04,11,07
71    14041945    02,03,08,01,09
72    14041946    02,07,11,10,05
73    14041947    04,05,02,11,09
74    14041948    09,10,08,03,04
75    14041949    10,11,06,03,08
76    14041950    07,01,08,11,03
77    14041951    04,09,10,03,02
78    14041952    01,09,11,07,08
